"Attr1"	"Attr2"	"Attr3"	"Attr4"	"Attr5"	"Attr6"	"Attr7"	"Attr8"	"Attr9"	"Attr10"	"Attr11"	"Attr12"	"Attr13"	"Attr14"	"Attr15"	"Attr16"	"Attr17"	"Attr18"	"Attr19"	"Attr20"	"Attr21"	"Attr22"	"Attr23"	"Attr24"	"Attr25"	"Attr26"	"Attr27"	"Attr28"	"Attr29"	"Attr30"	"Attr31"	"Attr32"	"Attr33"	"Attr34"	"Attr35"	"Attr36"	"Attr37"	"Attr38"	"Attr39"	"Attr40"	"Attr41"	"Attr42"	"Attr43"	"Attr44"	"Attr45"	"Attr46"	"Attr47"	"Attr48"	"Attr49"	"Attr50"	"Attr51"	"Attr52"	"Attr53"	"Attr54"	"Attr55"	"Attr56"	"Attr57"	"Attr58"	"Attr59"	"Attr60"	"Attr61"	"Attr62"	"Attr63"	"Attr64"	"class"
-0.073969	0.98931	0.057578	1.1113	-79.735	0	-0.073969	0.01084	0.68497	0.010724	-0.048869	-0.14297	-0.10799	-0.073969	-4881.8	-0.074768	1.0108	-0.073969	-0.10799	110.23	0.867	-0.0487	-0.10799	-0.099286	-0.0098396	-0.074768	-1.3484	0.13553	3.6869	1.2617	-0.065965	551.89	1.5789	0.82571	-0.081102	0.77913	1.298	0.29429	-0.1184	0.30286	-0.67714	-0.071099	222.88	112.64	-0.35756	0.7027	92.433	-0.0487	-0.071099	0.58117	0.51738	0.63336	0.025242	0.69272	280	0.50045	-6.8976	0.50452	26.443	3.3111	3.2403	275.69	1.3239	1.6123	TRUE
-0.50233	1.7768	0.27054	1.3881	23.093	-0.57245	-0.50233	-0.4374	3.5784	-0.77717	-0.33023	-0.72066	-0.13585	-0.50233	-1334.1	-0.2736	0.56281	-0.50233	-0.14038	0.59805	1.1191	-0.33092	-0.14038	-0.52158	-1.0748	-0.2736	-1.9228	8.2437	3.0035	0.4132	-0.14036	64.745	5.6375	2.2116	-0.35181	3.6	0.89347	0.29922	-0.098314	0.44737	-0.18819	-0.092479	66.887	66.289	-85.677	0.45578	0.54459	-0.34713	-0.097009	0.54457	0.69704	0.17738	-23.682	9.1176	272.7	-0.098143	0.64636	1.0916	-1.385	610.32	5.5062	71.1	5.1336	109.04	TRUE
-1.3732	0.72154	0.39854	1.9412	-95.718	-1.3732	-1.3732	0.18283	0.80944	0.13192	-0.72531	-3.2429	-1.5843	-1.3732	-205.36	-1.7773	1.3859	-1.3732	-1.6965	60.745	0.50879	-0.72915	-1.6965	0.94136	-1.3732	-1.7773	-1.1254	2.2389	4.187	0.74522	-1.6965	249.42	2.0559	1.2065	-0.59489	0.80944	2.3056	0.43001	-0.73494	1.3921	-0.037675	-0.9008	104.84	44.093	-10.194	1.2181	56.481	-0.81991	-1.0129	1.1392	0.42344	0.48641	0.74105	2.4156	6130	0.23446	-10.41	1.8759	2.2597	6.0087	8.2779	190.94	1.9116	4.5471	TRUE
0.12639	0.80206	0.11915	1.2052	-6.2732	0	0.12639	0.24678	2.1563	0.19794	0.14832	0.21765	0.078874	0.12639	1721.3	0.21205	1.2468	0.12639	0.058614	25.757	0.77137	0.14032	0.058614	0.24227	0.12639	0.21205	6.3986	0.397	3.1372	0.34206	0.068785	105.2	3.4715	2.5135	0.14148	2.1643	2.4744	0.41928	0.065613	0.11334	0.14529	0.065076	107.33	81.569	0.83063	0.94315	27.55	0.096638	0.044816	0.87259	0.58072	0.28806	0.6595	1.397	163.43	0.065613	0.63855	0.9416	1.1183	14.171	4.4747	98.298	3.7132	7.1846	TRUE
0.040744	0.3916	0.32871	2.343	22.677	-0.0011166	0.046048	1.5536	1.4794	0.6084	0.047427	0.18813	0.05409	0.046048	1786.2	0.20434	2.5536	0.046048	0.031126	57.78	0.76671	0.027352	0.027541	0.10283	0.58397	0.1908	19.842	0.77066	3.311	0.18287	0.031696	61.08	5.9757	3.735	0.016757	1.4794	2.3106	0.75524	0.011327	0.5131	0.21286	0.018488	110.5	52.723	0.17398	1.3862	58.442	-0.0066213	-0.0044757	1.4644	0.24476	0.16734	1.4264	1.7707	672.67	0.011326	0.06697	0.97004	0.24135	6.3171	6.923	60.388	6.0442	3.4685	FALSE
0.042339	0.37441	0.10979	1.4186	5.124	0.159	0.053289	1.4275	1.0668	0.53446	0.053289	0.2032	0.1637	0.053289	990.68	0.36844	2.6709	0.053289	0.063239	42.556	1.0942	0.066423	0.050245	0.19891	0.53446	0.33919	0.84088	0.17483	4.3887	0.43935	0.063239	121.18	3.012	0.1774	0.066423	0.87182	2.4411	0.64662	0.078825	0.021683	0.081476	0.078825	158.69	116.13	0.43095	1.044	45.397	-0.018235	-0.02164	0.99367	0.26225	0.332	0.85111	1.0297	2687	0.06259	0.079219	0.93741	0.20985	8.577	3.143	113.6	3.2132	1.3419	FALSE
0.084711	0.53108	-0.021895	0.95243	-39.167	0.20539	0.11347	0.83897	1.0675	0.44557	0.11347	0.24652	0.13166	0.11347	761.79	0.47913	1.8829	0.11347	0.058712	29.443	0.97808	0.12128	0.043831	0.29107	0.44557	0.42498	0.66989	-0.038986	4.2606	0.26973	0.058712	92.795	3.9334	0.22837	0.12128	1.9799	3.9904	0.51636	0.062754	0.029626	0.066573	0.062754	80.219	50.776	0.54337	0.61373	31.429	-0.019707	-0.010197	0.82547	0.46029	0.25423	0.79338	0.91944	-398.96	0.063207	0.19012	0.93679	0.15888	12.397	7.1884	86.93	4.1988	3.4413	FALSE
0.1296	0.76404	0.57082	2.4287	7.1645	0.23193	0.15918	0.30882	1.0493	0.23596	0.15918	0.39842	0.040849	0.15918	1729.1	0.2111	1.3088	0.15918	0.040315	45.222	0.84592	0.1795	0.032822	0.29125	0.23596	0.17237	0.47703	19.248	4.1032	0.18275	0.040315	38.756	9.418	0.23493	0.1795	3.9503	1.32	0.60047	0.045461	0.12334	0.13832	0.045461	85.146	39.924	0.26492	1.2043	47.453	0.17739	0.044927	1.27	0.39953	0.10618	7.9565	20.248	7238.6	0.04701	0.54924	0.95299	1.5448	8.0713	9.1424	36.934	9.8826	133.14	FALSE
0.11235	1.7399	-0.51425	0.43445	-82.297	-0.32201	0.11235	-0.42524	3.4144	-0.73987	0.14262	0.12356	0.059388	0.11235	3131.9	0.11654	0.57476	0.11235	0.032906	28.145	1.2795	0.14252	0.032906	0.13402	-0.20994	0.11654	4.7096	-0.85005	3.3369	0.50184	0.041769	95.228	3.8399	2.0068	-0.071064	3.6344	0.15865	0.0907	-0.020813	0.029033	0.24897	0.041742	39.409	11.264	0.42675	0.31857	27.522	0.052104	0.01526	0.22705	0.9093	0.26042	-1.223	0.14992	-1117	-0.020766	-0.15185	0.96072	-1.1226	12.969	32.404	97.205	3.7549	5.6438	TRUE
-0.18122	0.62816	-0.039983	0.92438	-136.26	-0.000258	-0.18122	0.59194	1.0065	0.37184	-0.1541	-0.34271	-0.13196	-0.18122	-1726.3	-0.21143	1.5919	-0.18122	-0.18005	139.42	0.88874	-0.1541	-0.18005	-0.17858	0.034766	-0.21143	-5.6819	-0.078213	4.2869	0.61649	-0.16117	235.36	2.2225	1.8708	-0.11132	1.0219	1.633	0.43574	-0.11061	0.018464	-0.19811	-0.15311	173.72	34.302	-0.47138	0.19734	119.4	-0.2025	-0.2012	0.77812	0.52877	0.44995	0.72736	0.85236	0.92438	0.18524	-0.48736	0.88519	0.17185	2.618	10.641	191.76	1.9034	1.9688	TRUE
0.067715	0.43376	0.40071	1.9894	-84.846	0	0.067715	1.3054	2.928	0.56624	0.089239	0.1672	0.35156	0.067715	153.8	2.3732	2.3054	0.067715	0.023126	68.138	1.0402	0	0.023126	0.21212	0.50104	2.3732	0	2.0625	3.4867	0.12198	0.052853	92.685	3.9381	3.677	0.0583	2.928	9.461	0.59363	0.019911	0.19738	0.015035	0	90.473	22.335	0.12388	0.63978	125.09	-0.96166	-0.32843	1.8575	0.40501	0.25393	2.9145	3.0555	1229	0.45529	0.11959	0.55216	0.048367	5.3568	16.342	50.487	7.2296	15.071	FALSE
0.023162	0.28049	0.38524	2.5627	-49.213	0.23499	0.037613	2.536	0.99491	0.71132	0.037613	0.15258	0.13302	0.037613	811.56	0.44975	3.5652	0.037613	0.039661	166.14	0.9428	0.070854	0.024424	0.30538	0.71132	0.39823	0.74331	1.0462	4.2715	0.24381	0.039661	94.396	3.8667	0.25261	0.070854	1.0352	5.8906	0.74529	0.074711	0.49103	0.057855	0.074711	196.56	30.422	0.053658	0.81167	165.29	-0.017683	-0.018646	2.2523	0.24652	0.25862	1.9317	2.0239	7197.7	-0.0051166	0.032562	1.0051	0.047753	2.197	11.998	94.879	3.847	2.5754	FALSE
0.097964	0.1438	0.36283	3.545	215.22	0.20684	0.12191	5.5375	1.227	0.7963	0.12191	0.8551	0.28012	0.12191	330.54	1.1042	6.9541	0.12191	0.21506	67.806	1.2858	0.10359	0.17282	0.25827	0.7963	0.93773	2.2421	0.73358	5.5516	-0.095291	0.21506	112.63	3.2406	0.72036	0.10359	0.5947	324.3	0.79753	0.18274	1.4112	0.033656	0.18274	195.87	128.07	0.93027	2.8063	83.197	0.066707	0.11768	3.5146	0.14257	0.30858	1.61	1.6125	129220	0.18499	0.12302	0.81501	0.001549	5.383	2.8501	91.796	3.9762	1.1461	FALSE
-0.13633	0.72476	0.007493	1.0137	-83.545	0	-0.14839	0.37977	1.2693	0.27524	-0.046517	-0.27193	-0.067112	-0.14839	-3105.3	-0.11754	1.3798	-0.14839	-0.1169	89.669	0.96315	-0.046715	-0.1074	0.75896	0.20629	-0.1009	-0.45856	0.016769	4.6086	0.567	-0.087849	148.21	2.5401	1.9125	-0.074608	1.2693	4.1257	0.33374	-0.058777	0.014133	1.4653	-0.036803	156.85	67.184	-0.43718	0.44229	82.114	-0.10992	-0.086594	0.76328	0.5457	0.39368	0.61601	0.74694	304.27	-0.058777	-0.49531	1.1723	0.21254	4.0705	5.4328	156.92	2.3261	2.8409	TRUE
0.041795	0.44894	0.14376	1.3925	-72.875	0	0.041795	1.2275	1.0029	0.55106	0.053248	0.1141	0.06012	0.041795	2717.8	0.1343	2.2275	0.041795	0.041675	82.344	1.0937	0.0012982	0.041675	0.14854	0.14506	0.1343	0.11334	0.29343	5.2963	0.44533	0.10186	181.32	2.013	1.6425	0.057893	1.0029	8.8411	0.58317	0.057727	0.17843	0.75594	0.0012944	161.85	79.508	0.18473	0.77482	111.99	-0.0172	-0.01715	1.1362	0.3663	0.49677	1.1248	1.1903	28439	0.26475	0.075844	0.7547	0.058255	4.4326	4.5907	133.32	2.7378	2.0469	FALSE
0.096112	0.28201	-0.024083	0.91115	-22.154	1.1641	0.12873	2.0862	1.0815	0.58831	0.12873	0.47491	0.090294	0.12873	508.6	0.71765	3.546	0.12873	0.057432	15.371	0.77014	0.12259	0.042881	1.4378	0.58831	0.602	0.59148	-0.031982	4.036	0.10462	0.057432	47.736	7.6462	0.4347	0.12259	2.3109	13.936	0.59926	0.054693	0.19199	0.047244	0.054693	31.744	16.373	1.0182	0.56292	16.623	0.048932	0.021831	0.87577	0.27106	0.13078	0.78127	0.79581	-261.62	0.075323	0.16337	0.92468	0.018611	23.746	22.293	44.141	8.269	2.9765	FALSE
0.027061	0.65179	-0.083963	0.7439	-216.35	0.042369	0.032832	0.53424	0.48421	0.34821	0.085295	0.10014	0.086922	0.032832	5652.4	0.064574	1.5342	0.032832	0.067805	39.717	1.1848	0.026532	0.055886	0.044254	0.33735	0.05572	0.50573	-0.11105	6.1783	1.3461	0.067805	283.86	1.2907	0.64921	0.062656	0.48421	0.59023	0.67215	0.1294	0.33896	0.60707	0.054794	100.07	60.357	0.51359	0.58319	45.449	0.017275	0.035677	0.37418	0.32785	0.77479	0.46053	0.88895	0.7439	0.1294	0	0.87519	0.93028	9.19	6.0474	247.13	1.4769	0.6404	FALSE
0.078323	0.54517	0.086014	1.1584	-55.44	0.19764	0.098868	0.72693	1.0595	0.3963	0.098868	0.18204	0.1155	0.098868	1564.2	0.23335	1.8343	0.098868	0.089767	75.324	1.0525	0.073216	0.071113	0.24246	0.3963	0.19566	0.70429	0.23192	4.8872	0.45552	0.089767	190.69	1.9141	0.1343	0.073216	1.1646	195.73	0.39835	0.066476	0.10664	0.17647	0.066476	189.3	113.98	0.34459	0.73988	79.803	0.044869	0.040738	1.154	0.54312	0.52244	1.0686	1.0741	6633.6	0.056115	0.19763	0.94388	0.0051804	4.8457	3.2024	179.99	2.0279	2.9697	FALSE
0.0049715	0.74115	0.25516	1.4713	-28.033	0	0.042072	0.34926	1.631	0.25885	0.063677	0.077705	0.045935	0.042072	3610.8	0.10109	1.3493	0.042072	0.025795	51.223	0.88782	0.023397	0.0030481	0.10723	0.1809	0.051029	1.083	1.2545	3.2843	0.44717	0.037466	121.39	3.0068	2.1966	0.003002	1.631	2.8426	0.45857	0.0018406	0.29977	0.43923	0.014345	141.95	90.724	0.02172	1.0485	51.317	-0.0094513	-0.0057948	1.0748	0.54143	0.33258	1.2726	2.2545	491.03	0.0018406	0.019206	0.97521	0.77154	7.1257	4.0232	121.17	3.0124	8.0187	FALSE
0.008134	0.61965	0.20371	1.3377	-70.381	0.062535	0.006713	0.59847	1.0106	0.37084	0.006713	0.011129	0.013169	0.006713	9184.2	0.039742	1.6138	0.006713	0.00359	109.69	1.2855	0.01901	0.00435	0.061114	0.37084	0.042035	0.10273	1.0552	4.7492	0.32311	0.00359	118.98	3.0677	0.030678	0.01901	1.8792	14.911	0.38727	0.010165	0.025577	0.55175	0.010165	154.49	44.8	0.014474	0.40609	110.84	0.001097	0.000586	1.3022	0.60322	0.32597	1.9209	2.0059	11436	0.010458	0.021934	0.98954	0.044301	3.3277	8.1473	117.74	3.1001	9.6865	FALSE
0.038759	0.76971	-0.21293	0.67786	-18.544	0	0.04812	0.299	4.8381	0.23014	0.050906	0.072801	0.016724	0.04812	3472.3	0.10512	1.2992	0.04812	0.009946	2.276	1.0222	0.05048	0.0080111	0.14644	0.20281	0.092957	18.118	-0.38577	3.821	0.15752	0.010515	50.653	7.2506	6.2264	0.075261	4.8434	5.7122	0.3033	0.015556	0.014672	0.30811	0.010434	33.071	30.795	1.2847	0.060315	2.2977	0.01769	0.0036563	0.58211	0.66098	0.13792	0.41696	0.5495	-1410	0.015544	0.16841	0.9895	0.31787	160.37	11.853	49.866	7.3196	8.7655	TRUE
0.087392	0.43411	0.2389	1.9159	16.556	0.15697	0.11133	1.2302	1.1601	0.53407	0.11133	0.42682	0.14155	0.11133	1021.4	0.35737	2.3036	0.11133	0.10158	64.564	0.69426	0.13429	0.079736	0.20329	0.53407	0.30222	1.4215	0.47757	4.8254	0.26231	0.10158	100.78	3.6219	0.30935	0.13429	1.2303	1.7653	0.70733	0.12253	0.57589	0.080137	0.12253	116.4	51.838	0.45077	1.1726	74.902	0.090488	0.08256	1.1512	0.26085	0.2761	1.0676	1.414	15983	0.13803	0.16364	0.86197	0.32443	5.6533	7.0411	86.867	4.2018	2.1909	FALSE
0.014191	0.29818	0.16232	1.6311	10.149	0.042046	0.019565	1.8867	0.98985	0.56259	0.019565	0.076073	0.041745	0.019565	1023.5	0.35663	3.3536	0.019565	0.0076805	13.07	1.0692	0.016004	0.0055707	0.054442	0.56259	0.33861	0.062186	0.27962	4.0873	0.074618	0.0076805	36.477	10.006	0.053671	0.016004	2.602	8.0086	0.60358	0.0062824	0.42421	0.095382	0.0062824	44.476	31.406	0.15557	1.2765	12.937	-0.070773	-0.027782	1.4069	0.25719	0.099938	0.96916	1.0398	1984.8	-0.010255	0.025224	1.0103	0.072865	27.927	11.622	36.851	9.9047	4.3883	FALSE
-0.15457	0.77375	-0.044375	0.94073	-63.689	0	-0.15457	0.29252	2.3019	0.22634	-0.12026	-0.20644	-0.036913	-0.15457	-3323.8	-0.10981	1.2924	-0.15457	-0.067149	60.019	2.54	-0.12249	-0.067149	-0.0634	-0.086163	-0.10981	-3.5704	-0.15014	3.2041	0.31876	-0.052254	112.12	3.3133	3.2062	-0.13513	2.3601	13.07	0.25127	-0.058705	0.058364	-0.48767	-0.053212	104.76	44.741	-0.40836	0.56389	55.69	-0.19209	-0.083448	0.91034	0.74875	0.30182	0.76582	0.85017	-71	-0.058919	-0.68291	1.0512	0.11015	6.0814	8.158	118.73	3.0743	7.7884	TRUE
0.13184	0.68211	-0.018632	0.96795	-27.135	0.17797	0.13184	0.46603	1.6565	0.31789	0.1529	0.22677	0.13852	0.13184	1085	0.33641	1.466	0.13184	0.079589	19.02	1.112	0.15177	0.079589	0.23431	0.20287	0.33641	7.2075	-0.042614	4.1032	0.4016	0.089913	140.11	2.6051	2.2205	0.14193	1.6565	5.1598	0.41022	0.085681	0.032168	0.091169	0.091619	119.88	100.86	1.5273	0.81948	20.802	0.054146	0.032686	0.82503	0.5814	0.38386	0.72704	0.93822	-236.32	0.085681	0.41475	0.92133	0.29047	19.19	3.6189	128.1	2.8492	3.7887	FALSE
0.23078	0.71126	0.24571	1.3863	-0.91826	-0.21152	0.27902	0.40595	3.4465	0.28874	0.3092	0.43863	0.080959	0.27902	930.43	0.39229	1.406	0.27902	0.080959	24.662	1.3273	0.29499	0.066962	0.48014	0.20198	0.32447	15.027	2.0789	3.7606	0.18521	0.086514	81.516	4.9973	4.4694	0.29169	3.4776	25.064	0.31463	0.084634	0.14757	0.080373	0.085591	83.449	58.787	0.99106	0.51364	26.737	0.29499	0.085591	1.2398	0.63613	0.20011	2.443	2.6621	1416	0.17355	0.79928	0.82601	0.089675	14.8	6.2088	67.369	5.4179	29.16	TRUE
0.012675	0.78247	0.13755	1.4054	0.92199	0.063161	0.013442	0.27607	1.0651	0.21602	0.013442	0.039618	0.050012	0.013442	5481.4	0.066588	1.278	0.013442	0.012903	45.376	1.0909	0.068205	0.012167	0.083067	0.21602	0.065608	0.69728	0.26292	4.2899	0.71193	0.012903	126.61	2.8829	0.087166	0.068205	1.0477	0.78373	0.6592	0.065467	0.13676	0.24072	0.065467	150.81	105.43	0.097867	1.0237	48.329	0.029543	0.028358	0.60941	0.3393	0.34687	0.41292	1.26	2681.7	0.061102	0.058677	0.9389	2.0516	8.0439	3.462	118.87	3.0705	1.9914	FALSE
0.020484	0.6766	-0.1592	0.52744	-45.424	0	0.020484	0.47799	2.3747	0.3234	0.048367	0.060802	0.036445	0.020484	2853.5	0.12791	1.478	0.020484	0.0086259	10.145	1.0788	0	0.0086259	0.1219	0.24023	0.12791	0	-0.1936	4.08	0.28275	0.019883	63.601	5.7389	2.8575	0.0050645	2.3747	0.46888	0.5616	0.0021327	0.046156	0.3414	0	24.922	14.776	0.31033	0.33152	12.461	-0.066062	-0.027819	0.26262	0.33689	0.17425	0.39329	0.68295	-1914	0.18584	0.063338	0.82593	0.73652	35.977	24.702	51.782	7.0488	2.8878	FALSE
0.048529	0.80481	-0.1992	0.68723	-17.57	0	0.062548	0.24273	4.8285	0.19535	0.069327	0.09821	0.019431	0.062548	3131	0.11658	1.2425	0.062548	0.012954	2.2593	1.5706	0.069173	0.01005	0.10031	0.16746	0.099158	10.205	-0.35415	3.8123	0.16416	0.013847	48.918	7.4787	5.9183	0.076413	4.8322	3.1587	0.32445	0.015825	0.022013	0.26708	0.014326	32.026	29.766	1.6237	0.06894	2.2903	0.037899	0.007849	0.54384	0.63688	0.13371	0.3473	0.57683	-1293	0.015825	0.24842	0.98569	0.66088	161.56	12.262	48.143	7.5815	8.5845	TRUE
0.026898	1.0541	-0.54159	0.48434	-103.12	0.10226	0.037229	-0.079195	0.98633	-0.083481	0.037229	0.035446	0.063796	0.037229	2181.3	0.16733	0.94866	0.037229	0.013465	28.964	0.89168	-0.012484	0.0097286	0.10369	-0.083481	0.15753	-0.044534	-1.1024	4.2376	0.36812	0.013465	136.76	2.669	-0.011843	-0.012484	2.9833	75.706	-0.079659	-0.0045151	0.036566	0.27359	-0.0045151	62.086	33.121	0.1226	0.27545	28.568	-0.15164	-0.054846	0.48259	1.0503	0.37468	-0.16992	-0.16214	-9359.7	-0.013863	-0.32221	1.0139	-0.045775	12.602	11.02	138.65	2.6325	5.6276	FALSE
